     ;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400
0;20.5;23.19;25.88;28.57;31.26;33.38;35.07;36.76;38.27;39.78;40.99;42.2;43.04;43.88;44.72;45.37;46.01;46.66;47.3;47.95;47.95;47.95;47.95;47.95;47.95;47.95;47.95;52.39;52.94;53.48;53.84;54.2;54.56;54.92;55.28;55.63;55.99;56.35;56.71;57.07
5;50.96;53.05;55.15;57.25;59.34;60.88;62.37;63.86;64.68;65.51;66.28;67.05;67.76;68.47;69.18;69.61;70.04;70.47;70.9;71.32;71.32;71.32;71.32;71.32;71.32;71.32;71.32;74.48;74.86;75.24;75.43;75.63;75.82;76.01;76.2;76.4;76.59;76.78;76.98;77.17
10;90.27;90.68;91.09;91.49;91.9;92.36;92.56;92.75;93.09;93.43;93.66;93.88;94.07;94.26;94.44;94.55;94.66;94.78;94.89;95;95;95;95;95;95;95;95;95.78;95.83;95.89;96.01;96.12;96.24;96.36;96.48;96.6;96.71;96.83;96.95;97.07
15;99.53;99.54;99.55;99.56;99.57;99.64;99.63;99.63;99.67;99.71;99.74;99.77;99.79;99.81;99.83;99.84;99.86;99.87;99.88;99.89;99.89;99.89;99.89;99.89;99.89;99.89;99.89;99.91;99.92;99.92;99.9;99.87;99.85;99.83;99.81;99.78;99.76;99.74;99.72;99.69
20;98.93;98.99;99.05;99.11;99.17;99.14;99.18;99.23;99.22;99.21;99.19;99.17;99.16;99.15;99.13;99.13;99.12;99.11;99.1;99.09;99.09;99.09;99.09;99.09;99.09;99.09;99.09;99.01;99.01;99.01;98.99;98.97;98.94;98.92;98.9;98.87;98.85;98.83;98.81;98.78
25;96.34;96.5;96.66;96.82;96.98;97.05;97.14;97.24;97.28;97.32;97.3;97.28;97.3;97.32;97.34;97.35;97.36;97.37;97.38;97.4;97.4;97.4;97.4;97.4;97.4;97.4;97.4;97.32;97.36;97.4;97.39;97.37;97.36;97.35;97.33;97.32;97.31;97.3;97.28;97.27
30;93.56;93.86;94.17;94.48;94.79;94.95;95.1;95.24;95.33;95.42;95.4;95.38;95.4;95.42;95.44;95.47;95.5;95.53;95.57;95.6;95.6;95.6;95.6;95.6;95.6;95.6;95.6;95.5;95.49;95.49;95.47;95.46;95.45;95.43;95.42;95.4;95.39;95.38;95.36;95.35
35;90.87;91.23;91.58;91.94;92.3;92.66;92.86;93.05;93.19;93.33;93.36;93.39;93.44;93.49;93.54;93.57;93.61;93.64;93.67;93.7;93.7;93.7;93.7;93.7;93.7;93.7;93.7;93.75;93.76;93.77;93.76;93.75;93.73;93.72;93.7;93.69;93.67;93.66;93.65;93.63
40;87.98;88.44;88.9;89.35;89.81;90.27;90.52;90.76;91;91.23;91.31;91.39;91.44;91.49;91.55;91.62;91.69;91.76;91.83;91.9;91.9;91.9;91.9;91.9;91.9;91.9;91.9;91.94;91.95;91.96;91.96;91.95;91.95;91.94;91.94;91.93;91.93;91.92;91.92;91.92
45;85.2;85.8;86.41;87.01;87.62;87.98;88.32;88.67;88.9;89.14;89.27;89.39;89.48;89.56;89.65;89.72;89.79;89.86;89.93;90;90;90;90;90;90;90;90;90.16;90.2;90.25;90.24;90.24;90.23;90.23;90.22;90.22;90.21;90.21;90.2;90.2
